,name,code,PC,MC
0,,,130.0,114.0
1,,,219.0,254.0
2,,,199.0,274.0
3,,,222.0,251.0
4,,,227.0,246.0
5,,,243.0,230.0
6,,,243.0,230.0
7,,,253.0,220.0
8,,,240.0,233.0
9,,,253.0,220.0
10,,,224.0,249.0
11,,,249.0,224.0
12,,,247.0,226.0
13,,,245.0,228.0
14,,,183.0,290.0
15,,,242.0,231.0
16,,,253.0,220.0
17,,,224.0,249.0
18,,,64.0,166.0
19,,,266.0,207.0
20,,,215.0,258.0
21,,,263.0,210.0
22,,,224.0,249.0
23,,,244.0,229.0
24,,,273.0,200.0
25,,,242.0,231.0
26,,,245.0,228.0
27,,,254.0,219.0
28,,,250.0,223.0
29,,,217.0,256.0
30,,,245.0,228.0
31,,,216.0,257.0
32,,,199.0,274.0
33,,,236.0,237.0
34,,,180.0,206.0
35,,,250.0,223.0
36,,,252.0,221.0
37,,,173.0,114.0
38,,,250.0,223.0
39,,,230.0,243.0
40,,,235.0,236.0
41,,,189.0,282.0
42,,,212.0,261.0
43,,,264.0,209.0
44,,,250.0,223.0
45,,,272.0,201.0
46,,,211.0,262.0
47,,,305.0,164.0
48,,,166.0,307.0
49,,,263.0,210.0
50,,,265.0,208.0
51,,,297.0,176.0
52,,,229.0,244.0
53,,,241.0,232.0
54,,,239.0,234.0
55,,,205.0,268.0
56,,,247.0,226.0
57,,,245.0,228.0
58,,,287.0,186.0
59,,,220.0,253.0
60,,,263.0,210.0
61,,,186.0,287.0
62,,,183.0,290.0
63,,,269.0,204.0
64,,,268.0,205.0
65,,,240.0,233.0
66,,,188.0,159.0
67,,,243.0,230.0
68,,,259.0,214.0
69,,,230.0,243.0
70,,,279.0,194.0
71,,,255.0,218.0
72,,,256.0,217.0
73,,,232.0,241.0
74,,,192.0,281.0
75,,,239.0,234.0
76,,,178.0,295.0
77,,,216.0,257.0
78,,,270.0,203.0
79,,,188.0,285.0
80,,,233.0,229.0
81,,,210.0,263.0
82,,,205.0,268.0
83,,,271.0,202.0
84,,,282.0,191.0
85,,,233.0,240.0
86,,,162.0,311.0
87,,,211.0,262.0
88,,,259.0,214.0
89,,,232.0,241.0
90,,,186.0,287.0
91,,,217.0,256.0
92,,,255.0,218.0
93,,,220.0,253.0
94,,,193.0,195.0
95,,,199.0,274.0
96,,,265.0,208.0
97,,,265.0,208.0
98,,,299.0,174.0
